id_avaliacao,id_sessao,nps,csat,comentario,aceitou_pesquisa,score_experiencia,data_avaliacao
1,1,10,5,,True,100,2024-01-20 12:06:04
2,3,9,5,,True,100,2024-03-26 16:04:12
3,5,10,5,,False,100,2024-06-28 18:41:44
4,7,10,5,tive vários problemas durante o uso.,False,100,2024-08-20 08:32:20
5,12,10,5,,True,100,2024-01-26 08:58:03
6,13,10,5,,False,100,2024-01-31 20:16:02
7,19,10,5,,False,100,2024-04-18 22:46:24
8,26,10,5,,False,100,2024-09-11 07:44:03
9,29,10,5,,False,100,2024-01-08 22:46:55
10,30,10,4,,False,100,2024-01-14 15:53:40
11,32,10,5,,False,100,2024-03-01 20:49:05
12,33,10,5,,False,100,2024-03-28 09:58:26
13,37,10,5,,False,100,2024-06-12 18:23:42
14,39,10,5,,False,100,2024-07-13 22:12:08
15,44,10,5,,False,100,2024-11-05 12:10:22
16,46,10,5,,True,100,2024-12-09 12:30:07
17,50,10,5,,False,100,2024-02-02 22:43:10
18,51,9,5,,True,100,2024-01-09 18:48:07
19,52,10,5,,False,100,2024-01-14 21:06:52
20,54,10,5,,True,100,2024-01-25 18:27:26
21,57,9,5,,False,78,2024-03-24 13:43:50
22,58,9,5,,False,100,2024-04-17 19:32:03
23,63,10,5,,False,100,2024-07-07 23:27:56
24,65,10,4,,True,100,2024-07-19 13:04:27
25,67,10,5,,True,100,2024-10-03 21:30:45
26,73,10,5,,True,100,2024-08-12 08:53:56
27,74,10,5,,False,95,2024-09-08 12:27:09
28,76,10,5,,False,100,2024-06-17 12:10:21
29,77,10,5,,False,100,2024-06-20 13:13:36
30,79,10,5,,False,95,2024-09-17 20:13:32
31,80,10,5,,False,100,2024-10-09 18:20:45
32,82,10,5,,False,100,2024-12-04 07:20:37
33,85,10,5,,False,100,2024-12-11 09:58:25
34,89,5,2,não consigo acessar minha conta.,False,30,2024-03-21 08:26:29
35,95,10,5,,False,100,2024-09-07 09:49:44
36,106,10,5,,False,100,2024-03-26 20:58:42
37,107,10,5,,False,100,2024-04-30 13:44:31
38,113,10,5,,True,100,2024-08-09 15:51:25
39,117,8,5,,True,73,2024-09-26 17:07:37
40,126,10,5,,False,100,2024-03-19 20:49:48
41,133,10,5,,True,100,2024-07-09 13:37:17
42,143,8,5,,False,73,2024-10-12 22:56:39
43,145,10,5,,False,100,2024-10-23 13:00:23
44,146,10,5,tive vários problemas durante o uso. já usei outros aplicativos que funcionam melhor.,False,100,2024-11-01 14:31:07
45,147,10,4,,False,100,2024-11-03 17:05:58
46,149,10,5,,False,100,2024-12-03 19:58:16
47,150,10,5,,True,100,2024-12-04 16:40:22
48,151,10,5,,False,100,2024-02-05 21:21:38
49,155,10,4,,False,100,2024-11-25 07:30:01
50,157,10,5,,False,100,2024-12-30 12:43:59
51,165,10,5,,False,100,2024-12-11 17:30:10
52,169,10,4,,False,100,2024-03-19 07:29:35
53,176,10,5,,False,100,2024-06-21 16:57:00
54,177,10,5,,False,100,2024-08-05 11:16:06
55,181,10,5,,True,100,2024-12-25 22:22:06
56,185,10,5,,False,100,2024-04-15 18:20:57
57,189,9,5,,False,100,2024-05-20 20:37:56
58,190,10,5,,False,100,2024-05-21 21:44:52
59,191,10,5,,False,100,2024-06-03 08:16:04
60,194,10,5,,True,100,2024-07-08 18:34:11
61,202,10,5,,False,100,2024-09-24 20:21:27
