id_erro,id_evento,id_sessao,tipo_erro,codigo_erro,tempo_resolucao,resolvido,tentativas
1,223,25,timeout,err_timeout_408,,False,1
2,325,36,erro_interno,err_internal_500,8,True,1
3,478,57,servico_indisponivel,err_service_503,,False,1
4,528,62,erro_interno,err_unexpected,,False,1
5,685,79,timeout,err_gateway_timeout_504,11,True,1
6,770,89,timeout,err_gateway_timeout_504,,False,1
7,839,98,erro_interno,err_unexpected,,False,1
8,855,99,erro_interno,err_internal_500,,False,1
9,949,112,erro_interno,err_internal_500,,False,1
10,986,117,erro_interno,err_internal_500,,False,1
11,1019,122,timeout,err_timeout_408,37,True,1
12,1082,130,timeout,err_gateway_timeout_504,,False,1
13,1138,139,timeout,err_timeout_408,60,True,1
14,1187,143,timeout,err_gateway_timeout_504,,False,1
15,1338,160,timeout,err_gateway_timeout_504,,False,1
16,1375,165,timeout,err_gateway_timeout_504,18,True,1
17,1745,210,erro_interno,err_internal_500,,False,1
18,2031,243,falha_autenticacao,err_auth_401,,False,1
19,2192,264,erro_interno,err_unexpected,39,True,1
20,2391,288,timeout,err_timeout_408,,False,1
21,2534,303,erro_interno,err_internal_500,,False,1
22,2566,308,timeout,err_gateway_timeout_504,,False,1
23,2631,316,falha_autenticacao,err_credentials_invalid,,False,1
24,2816,338,erro_interno,err_internal_500,,False,1
25,3018,364,timeout,err_timeout_408,,False,1
26,3033,367,timeout,err_gateway_timeout_504,17,True,1
27,3081,372,timeout,err_gateway_timeout_504,,False,1
28,3140,379,timeout,err_timeout_408,,False,1
29,3177,384,timeout,err_timeout_408,,False,1
30,3454,417,falha_autenticacao,err_auth_401,,False,1
31,3936,473,timeout,err_gateway_timeout_504,,False,1
32,4065,489,timeout,err_timeout_408,,False,1
33,4086,491,erro_interno,err_unexpected,52,True,1
34,4264,514,timeout,err_timeout_408,24,True,1
35,4269,514,timeout,err_gateway_timeout_504,64,True,1
36,4295,517,timeout,err_timeout_408,35,True,1
37,4640,559,timeout,err_gateway_timeout_504,,False,1
38,4660,561,timeout,err_gateway_timeout_504,,False,1
39,4682,564,timeout,err_gateway_timeout_504,33,True,1
40,4690,565,timeout,err_timeout_408,,False,1
41,5208,627,erro_interno,err_internal_500,,False,1
42,5227,630,falha_autenticacao,err_credentials_invalid,16,True,1
43,5407,653,servico_indisponivel,err_service_503,,False,1
44,5464,660,timeout,err_timeout_408,,False,1
45,5502,664,falha_autenticacao,err_auth_401,23,True,1
46,5621,677,erro_interno,err_internal_500,,False,1
47,5636,679,erro_interno,err_unexpected,9,True,1
48,5638,679,timeout,err_gateway_timeout_504,,False,1
49,5642,679,timeout,err_timeout_408,60,True,1
50,5770,696,timeout,err_gateway_timeout_504,24,True,1
51,5873,710,servico_indisponivel,err_service_503,,False,1
52,5928,716,timeout,err_gateway_timeout_504,16,True,1
53,5933,716,timeout,err_gateway_timeout_504,67,True,1
54,6007,725,timeout,err_gateway_timeout_504,,False,1
55,6128,740,timeout,err_gateway_timeout_504,33,True,1
56,6158,743,erro_interno,err_internal_500,,False,1
57,6236,753,timeout,err_gateway_timeout_504,69,True,1
58,6300,760,erro_interno,err_unexpected,,False,1
59,6432,776,erro_interno,err_unexpected,,False,1
60,6480,783,erro_interno,err_internal_500,14,True,1
61,6514,787,timeout,err_gateway_timeout_504,,False,1
62,6739,814,timeout,err_timeout_408,22,True,1
63,6845,825,erro_interno,err_internal_500,,False,1
64,7343,885,timeout,err_gateway_timeout_504,,False,1
65,7346,886,timeout,err_timeout_408,,False,1
66,7371,890,falha_autenticacao,err_credentials_invalid,,False,1
67,7558,915,timeout,err_gateway_timeout_504,,False,1
68,7637,928,servico_indisponivel,err_service_503,,False,1
69,7845,954,falha_autenticacao,err_credentials_invalid,,False,1
70,7846,955,servico_indisponivel,err_maintenance,,False,1
71,8006,975,timeout,err_gateway_timeout_504,40,True,1
72,8668,1064,timeout,err_timeout_408,,False,1
73,8948,1096,erro_interno,err_unexpected,40,True,1
74,8955,1096,timeout,err_gateway_timeout_504,,False,1
75,8958,1096,erro_interno,err_unexpected,,False,1
76,8959,1096,timeout,err_gateway_timeout_504,,False,2
77,9154,1120,timeout,err_gateway_timeout_504,,False,1
78,9297,1140,timeout,err_timeout_408,33,True,1
79,9307,1141,servico_indisponivel,err_service_503,28,True,1
80,9411,1153,erro_interno,err_unexpected,,False,1
81,9778,1199,timeout,err_timeout_408,,False,1
82,9779,1199,timeout,err_gateway_timeout_504,,False,2
83,10031,1231,timeout,err_timeout_408,29,True,1
84,10041,1232,timeout,err_timeout_408,,False,1
85,10076,1236,timeout,err_gateway_timeout_504,,False,1
86,10267,1261,timeout,err_gateway_timeout_504,29,True,1
87,10345,1272,timeout,err_timeout_408,36,True,1
88,10366,1274,erro_interno,err_internal_500,,False,1
89,10373,1275,timeout,err_timeout_408,,False,1
90,10414,1280,conexao_interrompida,err_connection_lost,365,True,1
91,10495,1290,timeout,err_gateway_timeout_504,,False,1
92,10531,1294,erro_interno,err_unexpected,,False,1
93,10555,1298,timeout,err_timeout_408,41,True,1
94,10590,1304,falha_autenticacao,err_auth_401,,False,1
95,10677,1317,timeout,err_gateway_timeout_504,12,True,1
96,11067,1364,erro_interno,err_unexpected,,False,1
97,11115,1369,erro_interno,err_unexpected,,False,1
98,11352,1396,erro_interno,err_unexpected,75,True,1
99,11408,1403,servico_indisponivel,err_service_503,,False,1
100,11522,1416,timeout,err_timeout_408,,False,1
101,12087,1486,timeout,err_timeout_408,12,True,1
102,12114,1490,timeout,err_gateway_timeout_504,,False,1
103,12444,1528,erro_interno,err_unexpected,30,True,1
104,12649,1552,falha_autenticacao,err_auth_401,,False,1
105,13111,1612,timeout,err_gateway_timeout_504,22,True,1
