id_erro,id_evento,id_sessao,tipo_erro,codigo_erro,tempo_resolucao,resolvido,tentativas
1,223,25,TIMEOUT,ERR_TIMEOUT_408,,False,1
2,325,36,ERRO_INTERNO,ERR_INTERNAL_500,8.0,True,1
3,478,57,SERVICO_INDISPONIVEL,ERR_SERVICE_503,,False,1
4,528,62,ERRO_INTERNO,ERR_UNEXPECTED,,False,1
5,685,79,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,11.0,True,1
6,770,89,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,,False,1
7,839,98,ERRO_INTERNO,ERR_UNEXPECTED,,False,1
8,855,99,ERRO_INTERNO,ERR_INTERNAL_500,,False,1
9,949,112,ERRO_INTERNO,ERR_INTERNAL_500,,False,1
10,986,117,ERRO_INTERNO,ERR_INTERNAL_500,,False,1
11,1019,122,TIMEOUT,ERR_TIMEOUT_408,37.0,True,1
12,1082,130,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,,False,1
13,1138,139,TIMEOUT,ERR_TIMEOUT_408,60.0,True,1
14,1187,143,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,,False,1
15,1338,160,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,,False,1
16,1375,165,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,18.0,True,1
17,1745,210,ERRO_INTERNO,ERR_INTERNAL_500,,False,1
18,2031,243,FALHA_AUTENTICACAO,ERR_AUTH_401,,False,1
19,2192,264,ERRO_INTERNO,ERR_UNEXPECTED,39.0,True,1
20,2391,288,TIMEOUT,ERR_TIMEOUT_408,,False,1
21,2534,303,ERRO_INTERNO,ERR_INTERNAL_500,,False,1
22,2566,308,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,,False,1
23,2631,316,FALHA_AUTENTICACAO,ERR_CREDENTIALS_INVALID,,False,1
24,2816,338,ERRO_INTERNO,ERR_INTERNAL_500,,False,1
25,3018,364,TIMEOUT,ERR_TIMEOUT_408,,False,1
26,3033,367,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,17.0,True,1
27,3081,372,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,,False,1
28,3140,379,TIMEOUT,ERR_TIMEOUT_408,,False,1
29,3177,384,TIMEOUT,ERR_TIMEOUT_408,,False,1
30,3454,417,FALHA_AUTENTICACAO,ERR_AUTH_401,,False,1
31,3936,473,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,,False,1
32,4065,489,TIMEOUT,ERR_TIMEOUT_408,,False,1
33,4086,491,ERRO_INTERNO,ERR_UNEXPECTED,52.0,True,1
34,4264,514,TIMEOUT,ERR_TIMEOUT_408,24.0,True,1
35,4269,514,TIMEOUT,ERR_GATEWAY_TIMEOUT_504,64.0,True,1
