id_sessao,id_cliente,data_hora_inicio,dispositivo,versao_app,qualidade_conexao,duracao_segundos,data_hora_fim,abandonada,motivo_encerramento,score_experiencia
1,4,2024-01-20 12:04:51,Android,6.0,Excelente,22,2024-01-20 12:05:13,False,Logout,100
2,4,2024-02-04 18:30:12,Android,6.0,Boa,64,2024-02-04 18:31:16,False,Logout,100
3,4,2024-03-26 16:02:14,iOS,6.0,Boa,74,2024-03-26 16:03:28,False,Logout,100
4,4,2024-04-15 22:04:43,Android,6.1,Excelente,66,2024-04-15 22:05:49,False,Logout,100
5,4,2024-06-28 18:40:26,Android,6.0,Boa,48,2024-06-28 18:41:14,False,Logout,100
6,4,2024-07-22 22:16:56,Android,6.0,Boa,56,2024-07-22 22:17:52,False,Logout,100
7,4,2024-08-20 08:27:51,Android,6.0,Boa,224,2024-08-20 08:31:35,False,Logout,100
8,4,2024-11-05 21:09:25,Android,6.0,Boa,67,2024-11-05 21:10:32,False,Logout,100
9,5,2024-01-03 12:19:25,Android,6.1,Excelente,47,2024-01-03 12:20:12,False,Logout,100
10,5,2024-01-22 18:56:33,Android,6.0,Boa,29,2024-01-22 18:57:02,False,Logout,100
11,5,2024-01-24 01:58:32,Android,6.0,Excelente,44,2024-01-24 01:59:16,False,Logout,100
12,5,2024-01-26 08:55:45,Android,6.1,Boa,85,2024-01-26 08:57:10,False,Logout,100
13,5,2024-01-31 20:13:08,Android,6.0,Excelente,110,2024-01-31 20:14:58,False,Logout,100
14,5,2024-02-01 17:57:47,Android,5.9,Boa,31,2024-02-01 17:58:18,False,Logout,100
15,5,2024-02-04 18:34:32,Android,6.0,Boa,43,2024-02-04 18:35:15,False,Logout,100
16,5,2024-02-16 17:14:04,Android,6.1,Regular,178,2024-02-16 17:17:02,False,Logout,100
17,5,2024-03-01 07:34:38,Android,6.1,Boa,29,2024-03-01 07:35:07,False,Logout,100
18,5,2024-03-04 12:59:00,Android,6.1,Boa,51,2024-03-04 12:59:51,False,Logout,100
19,5,2024-04-18 22:44:05,iOS,6.0,Boa,106,2024-04-18 22:45:51,False,Logout,100
20,5,2024-04-19 19:20:36,Android,6.1,Boa,61,2024-04-19 19:21:37,False,Logout,100
21,5,2024-05-09 12:36:45,iOS,6.0,Excelente,93,2024-05-09 12:38:18,False,Logout,100
22,5,2024-05-27 12:42:37,Android,6.1,Excelente,90,2024-05-27 12:44:07,False,Logout,100
23,5,2024-08-13 23:37:57,Android,6.1,Regular,71,2024-08-13 23:39:08,False,Logout,100
24,5,2024-08-23 08:01:05,iOS,6.1,Boa,170,2024-08-23 08:03:55,False,Logout,100
25,5,2024-09-04 11:56:09,Android,6.1,Regular,43,2024-09-04 11:56:52,False,Logout,73
26,5,2024-09-11 07:41:29,Android,6.1,Excelente,84,2024-09-11 07:42:53,False,Logout,100
27,5,2024-09-19 23:07:24,Android,6.0,Excelente,38,2024-09-19 23:08:02,False,Logout,100
28,5,2024-11-29 19:11:51,Android,6.1,Excelente,51,2024-11-29 19:12:42,False,Logout,100
29,10,2024-01-08 22:44:52,iOS,6.0,Boa,52,2024-01-08 22:45:44,False,Logout,100
30,10,2024-01-14 15:50:46,Android,6.0,Boa,127,2024-01-14 15:52:53,False,Logout,100
31,10,2024-02-25 12:27:07,Android,6.1,Boa,64,2024-02-25 12:28:11,False,Logout,100
32,10,2024-03-01 20:47:00,Android,6.1,Boa,58,2024-03-01 20:47:58,False,Logout,100
33,10,2024-03-28 09:56:08,Android,6.1,Boa,79,2024-03-28 09:57:27,False,Logout,100
34,10,2024-04-02 00:12:55,Android,6.1,Excelente,21,2024-04-02 00:13:16,False,Logout,100
35,10,2024-05-06 11:12:04,Android,6.0,Boa,119,2024-05-06 11:14:03,False,Logout,100
36,10,2024-05-08 16:58:45,iOS,6.0,Boa,107,2024-05-08 17:00:32,False,Logout,85
37,10,2024-06-12 18:21:43,iOS,6.0,Excelente,36,2024-06-12 18:22:19,False,Logout,100
38,10,2024-06-28 21:54:08,Android,6.0,Excelente,81,2024-06-28 21:55:29,False,Logout,100
39,10,2024-07-13 22:10:32,Android,5.8,Boa,49,2024-07-13 22:11:21,False,Logout,100
40,10,2024-08-11 11:04:58,Android,6.1,Excelente,55,2024-08-11 11:05:53,False,Logout,100
41,10,2024-08-26 11:51:40,Android,6.1,Boa,50,2024-08-26 11:52:30,False,Logout,100
42,10,2024-09-11 14:15:05,Android,6.1,Boa,42,2024-09-11 14:15:47,False,Logout,100
43,10,2024-10-09 09:18:02,Android,6.1,Excelente,24,2024-10-09 09:18:26,False,Logout,100
44,10,2024-11-05 12:08:34,Android,6.0,Regular,38,2024-11-05 12:09:12,False,Logout,100
45,10,2024-11-15 08:09:45,Android,6.0,Excelente,59,2024-11-15 08:10:44,False,Logout,100
46,10,2024-12-09 12:28:28,Android,6.0,Regular,37,2024-12-09 12:29:05,False,Logout,100
47,23,2024-08-11 12:53:08,iOS,5.9,Boa,56,2024-08-11 12:54:04,False,Logout,100
48,23,2024-11-08 09:40:43,iOS,6.0,Boa,28,2024-11-08 09:41:11,False,Logout,100
49,23,2024-12-03 10:33:40,iOS,6.0,Excelente,72,2024-12-03 10:34:52,False,Logout,100
50,25,2024-02-02 22:41:41,Android,5.9,Excelente,46,2024-02-02 22:42:27,False,Logout,100
51,26,2024-01-09 18:44:10,iOS,5.9,Regular,174,2024-01-09 18:47:04,False,Logout,100
52,26,2024-01-14 21:04:10,Android,6.1,Boa,83,2024-01-14 21:05:33,False,Logout,100
53,26,2024-01-15 15:57:22,Android,6.1,Boa,52,2024-01-15 15:58:14,False,Logout,100
54,26,2024-01-25 18:25:11,Android,6.1,Excelente,98,2024-01-25 18:26:49,False,Logout,100
55,26,2024-02-02 16:03:30,Android,6.1,Boa,39,2024-02-02 16:04:09,False,Logout,100
56,26,2024-02-07 13:20:33,Android,6.0,Excelente,31,2024-02-07 13:21:04,False,Logout,100
57,26,2024-03-24 13:41:01,Android,6.0,Boa,96,2024-03-24 13:42:37,False,Logout,78
58,26,2024-04-17 19:29:21,iOS,6.0,Regular,100,2024-04-17 19:31:01,False,Logout,100
59,26,2024-05-19 21:58:18,Android,5.8,Excelente,47,2024-05-19 21:59:05,False,Logout,100
60,26,2024-06-03 09:53:37,Android,6.0,Excelente,62,2024-06-03 09:54:39,False,Logout,100
61,26,2024-06-03 14:09:53,Android,5.9,Regular,104,2024-06-03 14:11:37,False,Logout,100
62,26,2024-06-25 07:23:03,Android,6.1,Boa,138,2024-06-25 07:25:21,False,Logout,80
63,26,2024-07-07 23:25:23,Android,6.1,Boa,122,2024-07-07 23:27:25,False,Logout,100
64,26,2024-07-12 21:50:55,Android,6.1,Ruim,73,2024-07-12 21:52:08,False,Logout,100
65,26,2024-07-19 13:03:11,Android,6.1,Boa,57,2024-07-19 13:04:08,False,Logout,100
66,26,2024-09-11 16:09:41,Android,6.1,Excelente,60,2024-09-11 16:10:41,False,Logout,100
67,26,2024-10-03 21:27:17,Android,6.1,Excelente,118,2024-10-03 21:29:15,False,Logout,100
68,26,2024-10-21 09:35:44,Android,6.0,Excelente,73,2024-10-21 09:36:57,False,Logout,100
69,26,2024-11-18 22:58:39,Android,6.1,Excelente,42,2024-11-18 22:59:21,False,Logout,100
70,26,2024-11-26 12:17:21,Android,6.1,Excelente,69,2024-11-26 12:18:30,False,Logout,100
71,26,2024-12-03 10:54:47,Android,6.1,Boa,67,2024-12-03 10:55:54,False,Logout,100
72,31,2024-03-22 10:36:12,iOS,6.1,Ruim,188,2024-03-22 10:39:20,False,Logout,100
73,31,2024-08-12 08:52:21,iOS,6.0,Boa,76,2024-08-12 08:53:37,False,Logout,100
74,31,2024-09-08 12:24:43,iOS,6.1,Ruim,109,2024-09-08 12:26:32,False,Logout,95
75,41,2024-05-09 20:16:37,iOS,6.1,Boa,28,2024-05-09 20:17:05,False,Logout,100
76,41,2024-06-17 12:06:23,iOS,5.9,Ruim,152,2024-06-17 12:08:55,False,Logout,100
77,41,2024-06-20 13:10:56,iOS,6.1,Regular,140,2024-06-20 13:13:16,False,Logout,100
